경제성장률,수출 무역의존도,수입 무역의존도
-0.037044110871845545,-0.5410004389024362,-0.18899075991983413
-0.2819823267227547,-0.5574413446469746,-0.18899075991983413
0.189052703759763,-0.5070306621645572,-0.18480432062152488
-0.037044110871845545,-0.56003408090657,-0.18899075991983413
-0.24429952428415327,-0.3471892515557833,-0.17531900471993972
-0.2066167218455519,-0.40609087503680286,0.31245570739788175
0.057162895224658,-0.3822031107209234,-0.18153342796826366
-0.31966512916135614,-0.456246603300751,0.39999691458547865
-0.2819823267227547,-0.4674026268891696,-0.18899075991983413
-1.0544797767140839,-0.5891258305738446,-0.18867397356206903
0.24557690741766508,-0.482601342496621,-0.18899075991983413
-0.3008237279420554,-0.5968631849405087,-0.17552981812871193
0.9803915549703927,0.7735203862347048,7.538112186496498
-0.07472691331044683,-0.5237524673881974,-0.18610829113382357
0.24557690741766508,1.943029668257192,-0.18899075991983413
-0.26314092550345397,-0.2878365869549139,-0.10838132623960509
0.6789291354615813,-0.5968631849405087,-0.18899075991983413
0.8485017464352879,2.8715071339662535,-0.1647511392739595
-0.0558855120911461,-0.5876447698148344,-0.18681008424771547
-0.01820270965254482,0.7815281050532995,-0.18899075991983413
-0.11240971574904836,-0.5119399407473457,-0.18899075991983413
0.9803915549703927,-0.5278705174183981,-0.18870609722154702
-0.22545812306485263,1.6710411422454696,-0.18899075991983413
-0.16893391940695046,-0.5903606430736432,-0.07304755545350995
-0.26314092550345397,-0.5315603395134869,0.0030871373715003433
0.3774667159527701,-0.5828687842466824,-0.1830469688305592
0.3586253147334694,-0.42508299197061594,-0.18899075991983413
0.01948009278605663,0.4488675075225857,-0.16912404775707549
0.7354533391194837,-0.5232938747099546,-0.18836921364205686
0.320942512294868,-0.33556889805180723,-0.18899075991983413
-0.9791141718368809,-0.33411564840281555,-0.18899075991983413
1.6021577952073163,-0.2017687411097554,-0.1714666079213917
-0.07472691331044691,1.4321392871554137,-0.18899075991983413
-0.9037485669596781,-0.526866137805139,-0.16415337913464015
-0.16893391940695046,-0.10451472416680065,-0.18899075991983413
0.11368709888256008,-0.2962352603596134,0.433927870664068
0.28325970985626653,0.008476149078926245,-0.18731789857081016
-6.141658105925275,-0.5968631849405087,-0.1742508189865648
0.5658807281457772,-0.30169910222830143,-0.18050802141180475
0.5847221293650778,-0.5353239307881416,-0.18899075991983413
0.03832149400535735,-0.5647848977657214,-0.1810315757379275
0.6600877342422807,0.3713588869697381,-0.18644286268679042
0.33978391351416865,-0.1730851260015779,-0.18456396181464563
-0.4703963389157618,-0.31005019354838953,0.15507624277458193
-0.09356831452974763,5.245019753135716,0.26706136486460685
-0.18777532062625119,-0.3454059344348581,-0.10673576566500294
-0.2066167218455519,0.07059702996958468,-0.18899075991983413
-0.01820270965254482,-0.37855941857242603,-0.1634339685745621
0.8861845488738891,-0.5679694959279672,-0.18899075991983413
0.5281979257071757,0.45486709511600387,-0.18899075991983413
-0.16893391940695046,-0.22857102924364048,-0.06034586457088061
-0.15009251818764974,-0.2450890717193928,-0.18899075991983413
0.26441830863696586,0.7528860584863961,-0.18264441019200978
-0.16893391940695046,-0.5375311494801398,-0.17114592213012647
2.3746552451986456,-0.5968631849405087,-0.18899075991983413
-0.26314092550345397,-0.19607026355450408,-0.1726461181520561
0.773136141558085,0.7412450953738873,-0.18330644786917508
0.20789410497906363,-0.19326789342370082,-0.17155654632485784
-1.3182593937842937,1.5864234408140647,-0.14515602729449176
